Working directory is /users/iab533/scratch/HIPC-Assignment/maxwell - CUDA
Running job on host
	 gpu01.pri.viking.alces.network at Sun 24 Apr 21:00:22 BST 2022
1 CPU cores available
gpu01 - job number

0 - GPU devices

Running problem size 1.000000 x 1.000000 on a 4000 x 4000 grid.
Step        0, Time: 5.30697226e-13 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      100, Time: 5.36004198e-11 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      200, Time: 1.06670142e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      300, Time: 1.59739865e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      400, Time: 2.12809588e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      500, Time: 2.65879310e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      600, Time: 3.18949033e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      700, Time: 3.72018755e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      800, Time: 4.25088478e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step      900, Time: 4.78158200e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1000, Time: 5.31227923e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1100, Time: 5.84297646e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1200, Time: 6.37367368e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1300, Time: 6.90437091e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1400, Time: 7.43506813e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1500, Time: 7.96576536e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1600, Time: 8.49646258e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1700, Time: 9.02715981e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1800, Time: 9.55785704e-10 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     1900, Time: 1.00885543e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2000, Time: 1.06192515e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2100, Time: 1.11499487e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2200, Time: 1.16806459e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2300, Time: 1.22113432e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2400, Time: 1.27420404e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2500, Time: 1.32727376e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2600, Time: 1.38034348e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2700, Time: 1.43341321e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2800, Time: 1.48648293e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     2900, Time: 1.53955265e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     3000, Time: 1.59262237e-09 (dt: 5.30697226e-13), E magnitude: 0.00000000e+00, B magnitude: 0.00000000e+00
Step     3014, Time: 1.59952144e-09 (dt: 5.30697226e-13), E magnitude: 2.12632564e-317, B magnitude: 5.36275453e-317
Simulation complete.

Job finished at Sun 24 Apr 21:00:47 BST 2022
